plant_name,FIPS,plant_county,plant_state,latitude,longitude,fuel_type,nameplate_capacity_MW,net_generation_MWh,NOx_tons,SO2_tons,CO2_tons,CH4_lbs,N2O_lbs,PM2.5_tons
Niles,39155,Trumbull,Ohio,41.166928,-80.74769,Oil,292.6,-154,4.655,1.94,633.492,52.19,10.438,0.140258969
W H Sammis,39081,Jefferson,Ohio,40.5317,-80.6319,Coal,2468.1,3956914,2401.515,1639.297,4592273.693,1115345.328,162306.952,4851.409528
West Lorain,39093,Lorain,Ohio,41.429444,-82.264444,Gas,555.6,10090.003,13.369,1.734,10376.833,461.867,74.558,1.166728367
Kyger Creek,39053,Gallia,Ohio,38.9144,-82.1289,Coal,1086.5,5515010,5374.742,3746.686,6225606.5,1447978.157,210643.39,6695.86832
Bay Shore,39095,Lucas,Ohio,41.6917,-83.4378,Oil,665.3,680705,318.996,1536.558,949720.188,58444.86,11688.972,24.13717835
Richland Peaking Station,39039,Defiance,Ohio,41.305203,-84.334622,Gas,450,233454,126.19,0.88,174304.461,7580.941,759.091,14.38142918
Stryker,39171,Williams,Ohio,41.5014,-84.4283,Oil,19,78,0.717,0.394,127.557,10.331,2.066,0.013479524
Bryan (OH),39171,Williams,Ohio,41.471822,-84.543148,Gas,39.3,2359.001,7.901,0.22,2366.947,93.163,10.041,0.27581037
Collinwood,39035,Cuyahoga,Ohio,41.556867,-81.58796,Oil,16,2,1.752,0.951,307.624,24.91,4.982,0.032507917
West 41st Street,39035,Cuyahoga,Ohio,41.474,-81.7145,Gas,32,346,1.032,0.008,306.25,11.892,1.24,0.01436649
Dover,39157,Tuscarawas,Ohio,40.520066,-81.46815,Coal,53.6,55921,211.673,1203.343,90406.869,21129.888,3072.519,19.40893752
Oberlin (OH),39093,Lorain,Ohio,41.2836,-82.2194,Gas,22,-35.999,10.881,0.318,475.668,26.907,4.098,0.074856017
Orrville,39169,Wayne,Ohio,40.850964,-81.765764,Coal,84.5,14831,48.052,444.291,23145.745,4276.722,611.883,4.244549504
Painesville,39085,Lake,Ohio,41.7265,-81.254,Coal,55.5,2656,11.941,78.505,4894.78,1118,162.658,1.066186008
Piqua Power Plant,39109,Miami,Ohio,40.133848,-84.237258,Oil,81.1,-261,0.328,0.2,64.677,5.238,1.048,0.006834688
St Marys,39011,Auglaize,Ohio,40.5458,-84.3889,Oil,41.8,207,5.915,2.864,1038.479,81.966,15.685,0.087776201
Anadarko,39111,Monroe,Ohio,39.756982,-81.115503,Oil,7.8,26,0.372,0.034,18.946,1.534,0.307,0.035959846
Horseshoe Lake,40109,Oklahoma,Oklahoma,35.50866,-97.17969,Gas,974,1037567,1152.889,3.658,724606.817,24540.6,2454.06,43.50731607
Muskogee,40101,Muskogee,Oklahoma,35.76135,-95.28732,Gas,1889,1551059,1752.946,1695.862,1429526.75,215289.624,30267.406,282.2292668
Mustang,40017,Canadian,Oklahoma,35.46988,-97.67498,Gas,995.5,13102.999,523.681,3.421,683416.114,262.141,26.218,44.94377036
Seminole (2956),40133,Seminole,Oklahoma,34.96645,-96.7258,Gas,1724,1944060,1231.301,6.561,1299666.25,47222.658,4722.266,50.5900682
Northeastern,40131,Rogers,Oklahoma,36.4317,-95.7008,Gas,1950.5,4639038,2289.179,4222.424,3834717.375,620496.499,88246.214,276.0383724
Southwestern,40015,Caddo,Oklahoma,35.1009,-98.3524,Gas,658,627292,1092.608,2.496,494775.824,17181.502,1718.15,30.41407894
Tulsa,40143,Tulsa,Oklahoma,36.116492,-95.990974,Gas,443.2,333257,652.814,1.386,274496.664,10281.193,1028.119,16.83045719
Weleetka,40107,Okfuskee,Oklahoma,35.3233,-96.1352,Gas,163,1508.001,16.107,0.007,1882.586,51.91,5.191,0.104992916
Cushing,40119,Payne,Oklahoma,35.982597,-96.775683,Oil,24.6,21,0.188,0.017,18.456,1.014,0.179,0.034963718
Kingfisher,40073,Kingfisher,Oklahoma,35.8575,-97.9277,Gas,9.1,86.001,0.877,0.001,50.963,2.831,0.419,0.000183992
Mangum,40055,Greer,Oklahoma,34.8836,-99.5022,Gas,7.7,37.999,0.497,0.001,28.112,1.519,0.221,0.000101491
Pawhuska,40113,Osage,Oklahoma,36.669425,-96.347408,Oil,9,157,2.413,0.207,116.532,9.438,1.888,0.221185
Boomer Lake Station,40119,Payne,Oklahoma,36.1438,-97.0681,Oil,28.7,26.001,0.372,0.034,19.272,1.561,0.312,0.036511425
Anadarko,40015,Caddo,Oklahoma,35.0847,-98.23,Gas,534.9,863950.999,180.71,10.782,485371.052,18096.933,1809.693,13.89053307
Mooreland,40153,Woodward,Oklahoma,36.43725,-99.22543,Gas,305,80339,74.063,0.308,60969.719,2268.215,226.821,3.857015467
Brunot Island Power Station,42003,Allegheny,Pennsylvania,40.464851,-80.043761,Gas,416.4,71539,14.158,0.232,46081.925,1734.826,173.772,11.73137397
Hamilton (PA),42001,Adams,Pennsylvania,39.908732,-76.988454,Oil,19.6,-89,0.758,0.43,139.154,11.27,2.254,0.014704935
Hunterstown,42001,Adams,Pennsylvania,39.8662,-77.1648,Gas,60,1691.001,0.096,0.054,3140.508,85.731,8.715,0.331870712
Mountain,42041,Cumberland,Pennsylvania,40.12282,-77.1716,Oil,54,1727,11.861,1.73,2798.554,200.281,40.056,0.196310113
Orrtanna,42001,Adams,Pennsylvania,39.8442,-77.3508,Oil,27,-141,0.295,0.163,52.673,4.266,0.853,0.005566129
Portland,42095,Northampton,Pennsylvania,40.910205,-75.079398,Oil,621,1244,2.104,0.159,1268.365,131.246,26.249,0.048755276
Shawnee (PA),42089,Monroe,Pennsylvania,41.061194,-75.058242,Oil,20,-143,0.313,0.178,57.572,4.663,0.933,0.006083908
