cnty_fips,display_name,Value
48287,"""Lee, (TX)""",249.2
48289,"""Leon, (TX)""",225.6
48291,"""Liberty, (TX)""",324.1
48293,"""Limestone, (TX)""",257.9
48297,"""Live Oak, (TX)""",245.3
48299,"""Llano, (TX)""",199
48301,"""Loving, (TX)""",261.1
48307,"""McCulloch, (TX)""",279.7
48309,"""McLennan, (TX)""",243.4
48311,"""McMullen, (TX)""",202.7
48313,"""Madison, (TX)""",259.4
48319,"""Mason, (TX)""",185.7
48321,"""Matagorda, (TX)""",278.3
48323,"""Maverick, (TX)""",200.5
48325,"""Medina, (TX)""",246.5
48327,"""Menard, (TX)""",227
48329,"""Midland, (TX)""",223.4
48331,"""Milam, (TX)""",211.5
48333,"""Mills, (TX)""",239.5
48339,"""Montgomery, (TX)""",218.5
48347,"""Nacogdoches, (TX)""",265.6
48349,"""Navarro, (TX)""",280.7
48351,"""Newton, (TX)""",324.2
48355,"""Nueces, (TX)""",216.3
48361,"""Orange, (TX)""",339
48371,"""Pecos, (TX)""",199.5
48373,"""Polk, (TX)""",360.6
48377,"""Presidio, (TX)""",157.6
48383,"""Reagan, (TX)""",221.7
48385,"""Real, (TX)""",217.7
48389,"""Reeves, (TX)""",229.7
48391,"""Refugio, (TX)""",232.3
48395,"""Robertson, (TX)""",273.3
48399,"""Runnels, (TX)""",252.1
48403,"""Sabine, (TX)""",289.2
48405,"""San Augustine, (TX)""",276.5
48407,"""San Jacinto, (TX)""",249.1
48409,"""San Patricio, (TX)""",244.2
48411,"""San Saba, (TX)""",213.6
48413,"""Schleicher, (TX)""",229.7
48419,"""Shelby, (TX)""",261.3
48427,"""Starr, (TX)""",205.3
48431,"""Sterling, (TX)""",268.9
48435,"""Sutton, (TX)""",205.3
48443,"""Terrell, (TX)""",207.5
48451,"""Tom Green, (TX)""",224.6
48453,"""Travis, (TX)""",161
48455,"""Trinity, (TX)""",293.9
48457,"""Tyler, (TX)""",305.9
48461,"""Upton, (TX)""",263.6
48463,"""Uvalde, (TX)""",225
48465,"""Val Verde, (TX)""",224.3
48469,"""Victoria, (TX)""",224.8
48471,"""Walker, (TX)""",225.4
48473,"""Waller, (TX)""",221.3
48475,"""Ward, (TX)""",262.2
48477,"""Washington, (TX)""",201.9
48479,"""Webb, (TX)""",191.1
48481,"""Wharton, (TX)""",272.8
48489,"""Willacy, (TX)""",187
48491,"""Williamson, (TX)""",165.8
48493,"""Wilson, (TX)""",221.5
48495,"""Winkler, (TX)""",275.4
48505,"""Zapata, (TX)""",194.3
48507,"""Zavala, (TX)""",305.2
5007,"""Benton, (AR)""",224.6
5033,"""Crawford, (AR)""",266.6
5047,"""Franklin, (AR)""",303.8
5057,"""Hempstead, (AR)""",328.5
5061,"""Howard, (AR)""",369.4
5081,"""Little River, (AR)""",306.4
5083,"""Logan, (AR)""",292.7
5087,"""Madison, (AR)""",371.8
5091,"""Miller, (AR)""",305.7
5113,"""Polk, (AR)""",311.1
5127,"""Scott, (AR)""",298.5
