FIPS,air_quality_annual_PM2p5,median_household_income,percent_diagnosed_diabetes,percent_EDU_less_col,percent_EDU_less_HS,percent_food_stamp,percent_high_BP,percent_high_chol,percent_obisity,percent_phys_inactivity,percent_poverty,percent_somker_status,unemployment_rate
48393,5.8,70000.0,7.1,76.1,7.3,2.5,37.5,38.4,22.5,19.4,6.4,16.7,4.3
48397,8.8,106000.0,7.5,57.1,7.0,3.9,29.5,33.0,20.6,18.2,4.8,13.9,4.3
48401,9.1,57000.0,8.4,84.1,17.4,11.6,37.2,35.1,26.8,25.7,14.2,20.3,6.0
48415,6.2,57000.0,7.1,83.9,19.8,10.4,34.2,34.5,20.8,18.8,13.8,19.5,6.7
48417,6.4,65000.0,7.0,67.4,12.0,8.7,38.2,38.8,22.5,19.1,12.5,16.4,4.0
48421,5.6,66000.0,7.2,81.5,25.6,4.5,33.6,35.4,21.9,19.1,11.3,17.5,3.0
48423,8.9,61000.0,8.1,73.0,12.9,11.0,35.0,34.2,28.2,17.9,12.7,17.1,5.1
48425,7.5,68000.0,7.1,71.1,8.2,7.3,36.6,37.2,22.2,19.3,8.3,17.3,5.2
48429,6.6,49000.0,7.5,84.3,20.2,15.1,37.5,36.6,23.2,20.0,15.6,20.5,4.9
48433,6.1,60000.0,7.7,87.5,18.4,8.4,42.4,40.8,23.2,20.4,14.3,19.8,4.1
48437,6.3,40000.0,7.7,84.1,24.8,16.2,37.5,36.0,21.7,19.7,19.6,21.7,4.9
48439,8.5,72000.0,10.2,67.4,13.5,10.2,30.3,34.4,34.9,22.7,10.5,16.0,5.3
48441,6.7,53000.0,7.7,73.2,10.5,13.4,31.3,32.0,26.7,19.1,12.2,18.8,4.3
48445,6.2,47000.0,7.3,88.4,30.3,15.1,35.7,35.3,22.1,19.1,18.5,21.7,6.1
48447,6.4,47000.0,7.2,77.7,13.0,8.2,42.6,41.3,22.3,19.4,13.5,18.9,2.8
48449,8.9,53000.0,7.3,83.2,21.8,14.1,34.5,33.8,23.0,19.3,14.3,19.7,5.4
48459,8.9,58000.0,7.1,81.8,13.2,12.6,39.2,37.3,22.3,20.5,12.6,20.9,6.3
48467,8.6,58000.0,7.8,84.2,14.7,10.6,38.9,38.3,26.3,22.2,12.9,20.2,4.7
48483,6.0,50000.0,7.4,84.7,20.1,8.2,38.2,37.8,22.3,19.3,13.5,21.0,6.2
48485,7.6,55000.0,12.4,76.9,11.7,13.2,32.6,33.2,32.6,27.6,16.0,18.7,5.3
48487,6.6,52000.0,8.8,85.1,21.3,15.4,38.2,37.3,23.3,21.9,14.6,22.5,6.6
48497,8.4,72000.0,8.8,81.2,13.9,7.6,34.6,36.3,29.5,23.1,10.0,19.2,4.9
48499,8.7,62000.0,7.2,80.8,14.4,10.1,41.4,40.1,21.1,21.1,13.5,18.8,5.6
