Incidence Rate Report for United States by County

"Thyroid (All Stages^), 2015-2019"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Montgomery County, Pennsylvania(6)",42091,10.5 ,9.1, 11.9,N/A , 6 , 33,47,falling,-10.3 ,-17.3, -2.7
"Lawrence County, Pennsylvania(6)",42073,10.5 ,6.7, 15.6,N/A , 1 , 46,5,falling,-8.5 ,-14.3, -2.2
"Placer County, California(7)",06061,10.4 ,8.5, 12.7,N/A , 1 , 10,22,rising,3.7 ,1.5, 5.9
"Clallam County, Washington(7)",53009,10.4 ,6.4, 16.2,N/A , 1 , 12,5,*,*,*,*
"Forsyth County, Georgia(7)",13117,10.4 ,7.8, 13.6,N/A , 1 , 8,12,stable,2.0 ,-1.7, 5.8
"Beaver County, Pennsylvania(6)",42007,10.4 ,7.6, 13.9,N/A , 2 , 42,10,rising,3.8 ,0.2, 7.6
"Chemung County, New York(7)",36015,10.4 ,6.5, 15.8,N/A , 2 , 39,5,*,*,*,*
"Sandusky County, Ohio(6)",39143,10.4 ,5.9, 17,N/A , 1 , 43,3,*,*,*,*
"Williamson County, Texas(7)",48491,10.4 ,8.7, 12.3,N/A , 1 , 11,28,stable,1.9 ,-0.7, 4.6
"Jefferson County, Tennessee(6)",47089,10.3 ,6.1, 16.8,N/A , 1 , 17,4,stable,5.9 ,0.0, 12.1
"Rogers County, Oklahoma(6)",40131,10.3 ,6.5, 15.5,N/A , 1 , 6,5,*,*,*,*
"Butler County, Pennsylvania(6)",42019,10.3 ,7.7, 13.5,N/A , 2 , 43,12,falling,-23.7 ,-37.2, -7.4
"Douglas County, Colorado(6)",08035,10.2 ,8.2, 12.7,N/A , 1 , 7,18,stable,2.4 ,-0.7, 5.6
"New Haven County, Connecticut(7)",09009,10.2 ,8.9, 11.7,N/A , 1 , 5,47,stable,-0.3 ,-3.1, 2.6
"Essex County, Massachusetts(7)",25009,10.2 ,8.8, 11.7,N/A , 1 , 8,43,falling,-5.2 ,-10.1, -0.1
"Dallas County, Iowa(7)",19049,10.2 ,6.3, 15.6,N/A , 1 , 8,4,*,*,*,*
"Washington County, Rhode Island(6)",44009,10.2 ,7, 14.4,N/A , 1 , 4,8,stable,-0.3 ,-4.5, 4.1
"Fond du Lac County, Wisconsin(6)",55039,10.2 ,6.6, 14.9,N/A , 1 , 19,6,*,*,*,*
"Ross County, Ohio(6)",39141,10.2 ,6.4, 15.5,N/A , 1 , 42,5,*,*,*,*
"Acadia Parish, Louisiana(7)",22001,10.1 ,5.9, 16.4,N/A , 1 , 18,4,*,*,*,*
"Larimer County, Colorado(6)",08069,10.1 ,8, 12.6,N/A , 1 , 8,18,stable,2.1 ,-0.9, 5.2
"Jefferson County, Wisconsin(6)",55055,10.1 ,6.3, 15.3,N/A , 1 , 20,5,*,*,*,*
"Broome County, New York(7)",36007,10.1 ,7.3, 13.5,N/A , 2 , 37,10,stable,-2.0 ,-7.0, 3.2
"Crawford County, Pennsylvania(6)",42039,10.1 ,6.2, 15.4,N/A , 1 , 46,5,*,*,*,*
"Bernalillo County, New Mexico(7)",35001,10.1 ,8.6, 11.7,N/A , 1 , 4,35,rising,3.1 ,1.8, 4.4
"Clearfield County, Pennsylvania(6)",42033,10 ,6.4, 15.1,N/A , 1 , 46,5,*,*,*,*
"Fairfield County, Connecticut(7)",09001,10 ,8.8, 11.4,N/A , 1 , 6,51,falling,-6.2 ,-10.2, -1.9
"Douglas County, Nebraska(6)",31055,10 ,8.4, 11.9,N/A , 1 , 2,27,rising,5.3 ,3.1, 7.5
"Somerset County, New Jersey(7)",34035,10 ,8, 12.5,N/A , 1 , 17,18,stable,3.0 ,-0.2, 6.3
"Dodge County, Wisconsin(6)",55027,10 ,6.6, 14.8,N/A , 1 , 19,6,stable,-45.1 ,-83.2, 79.7
"Crawford County, Arkansas(6)",05033,10 ,5.8, 16.2,N/A , 1 , 9,4,*,*,*,*
"Marathon County, Wisconsin(6)",55073,10 ,6.9, 13.9,N/A , 1 , 18,7,rising,7.1 ,2.9, 11.4
"Polk County, Oregon(6)",41053,10 ,6, 15.6,N/A , 1 , 11,4,*,*,*,*
"Carbon County, Pennsylvania(6)",42025,9.9 ,5.7, 16.2,N/A , 1 , 46,4,stable,-0.4 ,-4.9, 4.2
"Eaton County, Michigan(6)",26045,9.9 ,6.6, 14.4,N/A , 1 , 16,6,stable,3.4 ,-0.5, 7.5
"Adams County, Pennsylvania(6)",42001,9.9 ,6.3, 14.9,N/A , 1 , 46,5,stable,-0.3 ,-6.2, 6.0
"Wayne County, New York(7)",36117,9.9 ,6.1, 15.3,N/A , 2 , 39,5,*,*,*,*
"Knox County, Ohio(6)",39083,9.9 ,5.6, 16.3,N/A , 1 , 43,3,*,*,*,*
"Kenai Peninsula Borough, Alaska(6)",02122,9.9 ,5.6, 16.2,N/A , 1 , 3,4,*,*,*,*
"Niagara County, New York(7)",36063,9.9 ,7.3, 13,N/A , 3 , 36,11,rising,4.9 ,1.8, 7.9
"Loudon County, Tennessee(6)",47105,9.8 ,5.3, 16.8,N/A , 1 , 18,3,*,*,*,*
"Queens County, New York(7)",36081,9.8 ,9, 10.7,N/A , 10 , 26,119,stable,0.2 ,-4.0, 4.5
"York County, Pennsylvania(6)",42133,9.8 ,8.1, 11.8,N/A , 7 , 39,25,stable,0.6 ,-1.3, 2.6
